"Date","Price","Open","High","Low","Change %"
"Oct 05, 2017","6.6534","0.0001","0.0001","0.0001","0.00"
"Oct 04, 2017","6.6534","0.0001","0.0001","0.0001","0.00"
"Oct 03, 2017","6.6534","0.0001","0.0001","0.0001","0.00"
"Oct 02, 2017","6.6534","0.0001","0.0001","0.0001","0.00"
"Sep 29, 2017","6.6534","6.6571","6.6821","6.6368","-0.16"
"Sep 28, 2017","6.6640","6.6437","6.6780","6.6437","0.32"
"Sep 27, 2017","6.6425","6.6371","6.6447","6.6321","0.04"
"Sep 26, 2017","6.6400","6.6180","6.6418","6.6144","0.28"
"Sep 25, 2017","6.6212","6.5919","6.6226","6.5919","0.46"
"Sep 22, 2017","6.5911","6.5873","6.5996","6.5732","0.02"
"Sep 21, 2017","6.5899","6.5739","6.6041","6.5739","0.23"
"Sep 20, 2017","6.5749","6.5849","6.5849","6.5675","-0.14"
"Sep 19, 2017","6.5838","6.5762","6.6006","6.5758","0.15"
"Sep 18, 2017","6.5742","6.5476","6.5758","6.5473","0.33"
"Sep 15, 2017","6.5526","6.5545","6.5552","6.5388","-0.05"
"Sep 14, 2017","6.5560","6.5440","6.5601","6.5440","0.20"
"Sep 13, 2017","6.5430","6.5364","6.5431","6.5236","0.12"
"Sep 12, 2017","6.5354","6.5274","6.5498","6.5272","0.09"
"Sep 11, 2017","6.5297","6.5093","6.5303","6.5016","0.74"
"Sep 08, 2017","6.4817","6.4874","6.4874","6.4390","-0.08"
"Sep 07, 2017","6.4866","6.5255","6.5321","6.4855","-0.57"
"Sep 06, 2017","6.5240","6.5364","6.5485","6.5194","-0.23"
"Sep 05, 2017","6.5388","6.5312","6.5579","6.5194","0.12"
"Sep 04, 2017","6.5309","6.5592","6.5605","6.5217","-0.43"
"Sep 01, 2017","6.5591","6.5927","6.5927","6.5516","-0.47"
"Aug 31, 2017","6.5899","6.5927","6.6025","6.5876","-0.07"
"Aug 30, 2017","6.5944","6.5971","6.5998","6.5823","-0.04"
"Aug 29, 2017","6.5968","6.6220","6.6250","6.5938","-0.29"
"Aug 28, 2017","6.6159","6.6467","6.6467","6.6159","-0.51"
"Aug 25, 2017","6.6498","6.6632","6.6707","6.6463","-0.18"
"Aug 24, 2017","6.6620","6.6589","6.6661","6.6541","0.05"
"Aug 23, 2017","6.6589","6.6620","6.6693","6.6585","-0.05"
"Aug 22, 2017","6.6624","6.6654","6.6654","6.6546","-0.05"
"Aug 21, 2017","6.6656","6.6726","6.6762","6.6656","-0.08"
"Aug 18, 2017","6.6712","6.6742","6.6828","6.6677","-0.06"
"Aug 17, 2017","6.6755","6.6925","6.6925","6.6657","-0.24"
"Aug 16, 2017","6.6916","6.6860","6.6981","6.6825","0.09"
"Aug 15, 2017","6.6855","6.6705","6.6864","6.6690","0.22"
"Aug 14, 2017","6.6711","6.6602","6.6727","6.6553","0.10"
"Aug 11, 2017","6.6647","6.6460","6.6801","6.6460","0.26"
"Aug 10, 2017","6.6475","6.6720","6.6734","6.6450","-0.40"
"Aug 09, 2017","6.6739","6.7049","6.7075","6.6689","-0.49"
"Aug 08, 2017","6.7065","6.7207","6.7222","6.6950","-0.22"
"Aug 07, 2017","6.7214","6.7258","6.7290","6.7164","-0.11"
"Aug 04, 2017","6.7290","6.7150","6.7306","6.7132","0.18"
"Aug 03, 2017","6.7169","6.7200","6.7331","6.7150","-0.07"
"Aug 02, 2017","6.7219","6.7170","6.7297","6.7170","0.06"
"Aug 01, 2017","6.7181","6.7240","6.7252","6.7145","-0.12"
"Jul 31, 2017","6.7265","6.7362","6.7387","6.7206","-0.16"
"Jul 28, 2017","6.7374","6.7410","6.7498","6.7352","-0.08"
"Jul 27, 2017","6.7430","6.7530","6.7550","6.7230","-0.16"
"Jul 26, 2017","6.7539","6.7495","6.7595","6.7495","0.04"
"Jul 25, 2017","6.7511","6.7488","6.7568","6.7410","0.00"
"Jul 24, 2017","6.7511","6.7663","6.7687","6.7483","-0.23"
"Jul 21, 2017","6.7669","6.7570","6.7705","6.7549","0.11"
"Jul 20, 2017","6.7595","6.7511","6.7744","6.7511","0.11"
"Jul 19, 2017","6.7519","6.7451","6.7591","6.7450","0.08"
"Jul 18, 2017","6.7463","6.7690","6.7702","6.7404","-0.35"
"Jul 17, 2017","6.7700","6.7741","6.7763","6.7644","-0.09"
"Jul 14, 2017","6.7758","6.7825","6.7860","6.7675","-0.11"
"Jul 13, 2017","6.7835","6.7865","6.7874","6.7756","-0.06"
"Jul 12, 2017","6.7877","6.8010","6.8022","6.7856","-0.22"
"Jul 11, 2017","6.8025","6.8026","6.8086","6.7982","-0.02"
"Jul 10, 2017","6.8036","6.8039","6.8049","6.7988","-0.04"
"Jul 07, 2017","6.8060","6.7990","6.8060","6.7948","0.07"
"Jul 06, 2017","6.8015","6.7995","6.8074","6.7952","0.00"
"Jul 05, 2017","6.8015","6.7985","6.8035","6.7916","0.01"
"Jul 04, 2017","6.8007","6.7984","6.8030","6.7948","0.00"
"Jul 03, 2017","6.8007","6.7758","6.8013","6.7758","0.29"
"Jun 30, 2017","6.7809","6.7840","6.7856","6.7598","-0.09"
"Jun 29, 2017","6.7870","6.7984","6.8014","6.7719","-0.19"
"Jun 28, 2017","6.7998","6.8100","6.8114","6.7930","-0.19"
"Jun 27, 2017","6.8126","6.8382","6.8466","6.8062","-0.42"
"Jun 26, 2017","6.8411","6.8310","6.8468","6.8310","0.07"
"Jun 23, 2017","6.8366","6.8324","6.8454","6.8324","0.02"
"Jun 22, 2017","6.8349","6.8275","6.8365","6.8250","0.08"
"Jun 21, 2017","6.8295","6.8285","6.8363","6.8230","0.00"
"Jun 20, 2017","6.8292","6.8180","6.8360","6.8175","0.14"
"Jun 19, 2017","6.8195","6.8097","6.8199","6.8048","0.13"
"Jun 16, 2017","6.8104","6.8041","6.8162","6.8039","0.04"
"Jun 15, 2017","6.8079","6.7878","6.8079","6.7878","0.24"
"Jun 14, 2017","6.7916","6.7960","6.8007","6.7858","-0.11"
"Jun 13, 2017","6.7991","6.7961","6.7995","6.7955","0.01"
"Jun 12, 2017","6.7982","6.7942","6.7996","6.7940","0.00"
"Jun 09, 2017","6.7980","6.7951","6.8041","6.7945","-0.03"
"Jun 08, 2017","6.8003","6.7951","6.8014","6.7926","0.07"
"Jun 07, 2017","6.7957","6.7851","6.7979","6.7850","0.01"
"Jun 06, 2017","6.7953","6.8030","6.8037","6.7918","-0.13"
"Jun 05, 2017","6.8040","6.7976","6.8059","6.7963","-0.11"
"Jun 02, 2017","6.8117","6.8020","6.8242","6.8013","0.06"
"Jun 01, 2017","6.8078","6.8007","6.8120","6.7830","-0.03"
"May 31, 2017","6.8101","6.8525","6.8529","6.8098","-0.66"
"May 30, 2017","6.8555","6.8565","6.8625","6.8190","-0.01"
"May 29, 2017","6.8565","6.8576","6.8655","6.8501","0.01"
"May 26, 2017","6.8556","6.8672","6.8703","6.8459","-0.19"
"May 25, 2017","6.8689","6.8883","6.8899","6.8637","-0.30"
"May 24, 2017","6.8899","6.8880","6.8959","6.8879","-0.00"
"May 23, 2017","6.8900","6.8828","6.8941","6.8798","0.05"
"May 22, 2017","6.8864","6.8830","6.8960","6.8800","0.02"
"May 19, 2017","6.8850","6.8880","6.8974","6.8828","-0.06"
"May 18, 2017","6.8892","6.8836","6.8968","6.8835","0.11"
"May 17, 2017","6.8819","6.8840","6.8963","6.8773","-0.07"
"May 16, 2017","6.8867","6.8900","6.8964","6.8818","-0.09"
"May 15, 2017","6.8930","6.8972","6.9032","6.8900","-0.09"
"May 12, 2017","6.8994","6.8992","6.9070","6.8972","-0.06"
