"Date","Price","Open","High","Low","Change %"
"Mar 23, 2018","64.990","65.200","65.210","64.983","-0.18"
"Mar 22, 2018","65.105","65.125","65.155","65.025","-0.12"
"Mar 21, 2018","65.180","65.220","65.240","65.180","-0.05"
"Mar 20, 2018","65.210","65.210","65.250","65.160","-0.02"
"Mar 19, 2018","65.220","65.045","65.220","65.000","0.35"
"Mar 16, 2018","64.990","64.990","64.990","64.850","0.00"
"Mar 15, 2018","64.990","64.925","64.993","64.810","0.23"
"Mar 14, 2018","64.840","64.890","65.062","64.820","-0.02"
"Mar 13, 2018","64.855","64.985","65.010","64.845","-0.20"
"Mar 12, 2018","64.985","64.965","65.070","64.957","-0.21"
"Mar 09, 2018","65.125","65.125","65.195","65.045","0.03"
"Mar 08, 2018","65.105","64.905","65.165","64.885","0.35"
"Mar 07, 2018","64.880","64.905","65.010","64.860","-0.04"
"Mar 06, 2018","64.905","64.945","65.120","64.905","-0.18"
"Mar 05, 2018","65.025","65.055","65.160","64.930","-0.30"
"Mar 02, 2018","65.220","65.210","65.270","65.200","-0.02"
"Mar 01, 2018","65.230","65.210","65.252","65.110","0.03"
"Feb 28, 2018","65.210","65.150","65.320","65.050","0.45"
"Feb 27, 2018","64.920","64.820","64.970","64.770","0.23"
"Feb 26, 2018","64.770","64.660","64.840","64.630","0.09"
"Feb 23, 2018","64.710","64.960","64.960","64.695","-0.41"
"Feb 22, 2018","64.975","65.065","65.105","64.955","0.26"
"Feb 21, 2018","64.805","64.905","64.945","64.713","-0.08"
"Feb 20, 2018","64.860","64.510","64.862","64.420","0.95"
"Feb 19, 2018","64.250","64.250","64.250","64.250","0.05"
"Feb 16, 2018","64.215","63.875","64.230","63.815","0.49"
"Feb 15, 2018","63.900","63.960","63.980","63.875","-0.31"
"Feb 14, 2018","64.100","64.155","64.192","64.045","-0.26"
"Feb 13, 2018","64.265","64.275","64.275","64.265","-0.02"
"Feb 12, 2018","64.280","64.290","64.350","64.240","-0.15"
"Feb 09, 2018","64.375","64.425","64.438","64.285","0.12"
"Feb 08, 2018","64.300","64.390","64.390","64.150","0.03"
"Feb 07, 2018","64.280","64.220","64.312","64.045","0.08"
"Feb 06, 2018","64.230","64.360","64.405","64.100","0.14"
"Feb 05, 2018","64.140","64.240","64.240","64.010","0.02"
"Feb 02, 2018","64.130","64.125","64.200","63.740","0.23"
"Feb 01, 2018","63.980","63.650","64.065","63.560","0.68"
"Jan 31, 2018","63.550","63.680","63.752","63.550","-0.22"
"Jan 30, 2018","63.690","63.700","63.815","63.595","0.14"
"Jan 29, 2018","63.600","63.610","63.625","63.490","0.02"
"Jan 26, 2018","63.590","63.525","63.620","63.515","0.12"
"Jan 25, 2018","63.515","63.515","63.640","63.455","-0.23"
"Jan 24, 2018","63.660","63.740","63.740","63.630","-0.16"
"Jan 23, 2018","63.760","63.910","63.910","63.750","-0.20"
"Jan 22, 2018","63.890","63.890","64.010","63.725","0.09"
"Jan 19, 2018","63.830","63.680","63.870","63.635","-0.06"
"Jan 18, 2018","63.870","63.860","63.950","63.755","-0.02"
"Jan 17, 2018","63.885","64.080","64.080","63.772","-0.21"
"Jan 16, 2018","64.020","63.610","64.130","63.600","0.80"
"Jan 15, 2018","63.515","63.460","63.515","63.335","-0.15"
"Jan 12, 2018","63.610","63.600","63.730","63.490","-0.13"
"Jan 11, 2018","63.690","63.660","63.828","63.648","0.09"
"Jan 10, 2018","63.630","63.690","63.855","63.560","-0.06"
"Jan 09, 2018","63.670","63.485","63.730","63.425","0.31"
"Jan 08, 2018","63.475","63.335","63.530","63.245","0.21"
"Jan 05, 2018","63.340","63.360","63.425","63.323","-0.09"
"Jan 04, 2018","63.400","63.595","63.615","63.365","-0.17"
"Jan 03, 2018","63.505","63.555","63.575","63.450","0.07"
"Jan 02, 2018","63.460","63.700","63.770","63.440","-0.35"
"Jan 01, 2018","63.680","63.855","63.865","63.635","-0.25"
